city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id,Source: https://simplemaps.com/data/us-cities
Washington,Washington,DC,District of Columbia,11001,District of Columbia,38.9047,-77.0163,5289420,693972,4382,polygon,TRUE,America/New_York,20010 20011 20012 20015 20520 20307 20418 20024 20510 20593 20020 20540 20240 20245 20202 20390 20006 20005 20004 20009 20008 20204 20535 20317 20319 20405 20057 20052 20053 20017 20018 20565 20566 20560 20260 20228 20064 20551 20553 20019 20230 20373 20427 20007 20003 20002 20032 20036 20037 20506 20001 20045 20016 20013 20022 20026 20027 20029 20030 20033 20035 20038 20039 20040 20042 20043 20044 20047 20049 20050 20055 20056 20059 20060 20061 20062 20063 20065 20066 20067 20068 20071 20073 20074 20075 20076 20077 20078 20080 20081 20082 20090 20091 20201 20203 20207 20208 20210 20211 20212 20213 20214 20215 20216 20217 20218 20219 20220 20221 20222 20223 20224 20226 20227 20229 20232 20233 20235 20237 20238 20239 20241 20242 20244 20250 20251 20252 20254 20261 20262 20265 20266 20268 20270 20277 20289 20299 20301 20303 20306 20310 20314 20318 20330 20340 20350 20355 20370 20372 20374 20375 20376 20380 20388 20389 20391 20392 20393 20394 20395 20398 20401 20402 20403 20404 20407 20408 20410 20411 20412 20413 20414 20415 20416 20417 20419 20420 20421 20422 20423 20424 20425 20426 20428 20429 20431 20433 20434 20435 20436 20437 20439 20440 20441 20442 20444 20447 20451 20453 20456 20460 20463 20468 20469 20470 20472 20500 20501 20502 20503 20504 20505 20507 20508 20509 20511 20515 20521 20522 20523 20524 20525 20526 20527 20528 20529 20530 20531 20533 20534 20536 20537 20538 20539 20541 20542 20543 20544 20546 20547 20548 20549 20552 20554 20555 20557 20559 20570 20571 20572 20573 20575 20576 20577 20578 20579 20580 20581 20585 20586 20588 20590 20591 20594 20597 20598 20599 56901 56902 56904 56908 56915 56920 56933 56935 56944 56945 56950 56965 56967 56972 56998 56999,1840006060,
Boston,Boston,MA,Massachusetts,25025,Suffolk,42.3188,-71.0846,4637537,685094,5471,polygon,TRUE,America/New_York,02120 02121 02122 02124 02125 02126 02127 02128 02129 02210 02215 02467 02119 02118 02111 02110 02113 02115 02114 02116 02199 02136 02135 02134 02132 02131 02130 02203 02163 02152 02108 02109 02112 02117 02123 02133 02137 02196 02201 02205 02206 02211 02212 02217 02222 02241 02266 02283 02284 02293 02297 02298 02455,1840000455,
El Paso,El Paso,TX,Texas,48141,El Paso,31.8479,-106.4309,845674,683577,1025,polygon,TRUE,America/Denver,79901 79902 79903 79904 79905 79906 79907 79930 79932 79935 79934 79936 79912 79911 79835 79922 79920 79927 79924 79925 79915 79910 79913 79914 79917 79923 79926 79931 79937 79940 79941 79943 79944 79945 79946 79947 79948 79949 79950 79951 79952 79953 79954 79955 79958 79960 79961 79968 79976 79978 79980 79995 79996 79997 79998 79999 88540 88541 88542 88543 88544 88545 88546 88547 88548 88549 88550 88553 88554 88555 88556 88557 88558 88559 88560 88561 88562 88563 88565 88566 88567 88568 88569 88570 88571 88572 88573 88574 88575 88576 88577 88578 88579 88580 88581 88582 88583 88584 88585 88586 88588 88590 88595,1840023252,
Detroit,Detroit,MI,Michigan,26163,Wayne,42.3834,-83.1024,3522206,673104,1873,polygon,TRUE,America/Detroit,48209 48208 48201 48207 48206 48205 48204 48226 48238 48239 48234 48235 48233 48203 48202 48243 48214 48215 48216 48217 48210 48211 48212 48213 48219 48228 48224 48227 48221 48223 48231 48232 48244 48255 48260 48264 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288,1840003971,
Nashville,Nashville,TN,Tennessee,47037,Davidson,36.1714,-86.7844,1076645,667560,541,polygon,TRUE,America/Chicago,37027 37138 37076 37072 37205 37206 37240 37243 37246 37218 37219 37216 37217 37214 37215 37212 37213 37210 37211 37189 37080 37209 37208 37204 37207 37201 37203 37115 37013 37228 37221 37220 37143 37011 37116 37202 37222 37224 37227 37229 37230 37232 37234 37235 37236 37238 37241 37242 37244 37250,1840036155,
Memphis,Memphis,TN,Tennessee,47157,Shelby,35.1047,-89.9773,1068873,652236,793,polygon,TRUE,America/Chicago,38120 38122 38125 38127 38107 38106 38105 38104 38103 38109 38108 38152 38132 38133 38131 38134 38141 38111 38112 38114 38115 38116 38117 38118 38119 38018 38016 38128 38126 37501 37544 38088 38101 38113 38124 38130 38136 38137 38145 38148 38150 38151 38157 38159 38161 38163 38166 38168 38173 38174 38175 38177 38181 38182 38184 38186 38187 38188 38190 38193 38194 38197,1840015457,
Portland,Portland,OR,Oregon,41051,Multnomah,45.5372,-122.65,2052796,647805,1874,polygon,TRUE,America/Los_Angeles,97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97266 97236 97232 97233 97230 97239 97218 97219 97214 97215 97216 97217 97210 97211 97212 97213 96214 97207 97228 97238 97240 97242 97250 97251 97252 97253 97254 97256 97258 97280 97282 97283 97286 97290 97291 97292 97293 97294,1840019941,
Oklahoma City,Oklahoma City,OK,Oklahoma,40109,Oklahoma,35.4676,-97.5136,955998,643648,409,polygon,TRUE,America/Chicago,73012 73013 73099 73097 73119 73118 73114 73117 73116 73111 73112 73020 73173 74857 73142 73141 73145 73149 73078 73108 73109 73139 73132 73131 73135 73134 73008 73084 73105 73102 73169 73162 73165 73054 73151 73150 73159 73064 73106 73107 73104 73103 73129 73179 73170 73049 73127 73120 73121 73122 73128 73101 73113 73124 73125 73126 73136 73137 73143 73144 73146 73147 73148 73152 73154 73155 73157 73163 73164 73167 73172 73178 73184 73189 73190 73194 73195,1840020428,
Las Vegas,Las Vegas,NV,Nevada,32003,Clark,36.2291,-115.2607,2073045,641676,1838,polygon,TRUE,America/Los_Angeles,89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89146 89145 89144 89149 89110 89117 89129 89128 89124 88901 88905 89105 89114 89116 89125 89126 89127 89133 89136 89137 89140 89151 89152 89153 89155 89157 89158 89162 89163 89165 89173 89185 89195,1840020364,
Louisville,Louisville,KY,Kentucky,21111,Jefferson,38.1662,-85.6488,1011696,621349,909,polygon,TRUE,America/New_York,40177 40245 40241 40218 40219 40214 40216 40211 40213 40059 40291 40299 40220 40223 40222 40229 40228 40023 40272 40207 40209 40258 40118 40027 40225 40242 40261 40268 40269 40281,1840030815,
